Round,Image Quality,Gender Fitness,Ethnicity Fitness,Duration,CPU Energy,GPU Energy
round_1,0.7004545454545454,1.0,1.3,33.71141622066498,0.000202056109533585,0.00189932415834696
round_2,0.6429629629629628,1.0,1.2,33.83680454492569,0.000202784690033135,0.001920417855777445
round_3,0.6624285714285715,1.0,1.1,33.75012457370758,0.00020168121365035,0.0019349208812687601
round_4,0.6476666666666666,1.0,1.3,33.73672310113907,0.0002020801852612,0.001956674009782345
round_5,0.616393442622951,1.0,1.3,34.146486854553224,0.000207500622389205,0.00196604267005506
round_6,0.685769230769231,1.0,0.8999999999999999,33.80987833738327,0.00020044805976105498,0.001967874990965345
round_7,0.6300000000000002,1.0,1.0,33.7360923409462,0.000200774960953135,0.001960658554636635
round_8,0.5918518518518517,1.0,1.1,33.767477011680604,0.00020164984920859999,0.001964233946385865
round_9,0.6047826086956521,1.0,1.4,33.76042020320892,0.00020187228465042,0.00196336158457684
round_10,0.596619718309859,1.0,1.1,33.768735754489896,0.00020117136322857497,0.00195750739933794
